titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,armarios_empotrados,terraza,garaje,calefaccion,aire_acondicionado,piscina,zonas_verdes
"Alquiler de Piso en avenida de la Estación, 97",Atarfe,670,1.0,2,1,Bajo,3,96,1,0,1,1,0,0,0
Alquiler de Piso en avenida de Madrid,"Plaza de Toros, Granada",1040,1.0,1,0,Primeros_pisos,4,92,0,1,1,1,1,0,0
Alquiler de Piso en calle Ancha de Capuchinos,"San Ildefonso, Granada",1180,1.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
"Alquiler de Piso en avenida Agustina de Aragón, 2","Casco Historico, Churriana de la Vega",670,1.0,1,0,Muchas_plantas,2,83,1,0,0,0,0,0,0
Alquiler de Piso en pasaje de Ardales,"Casería de Montijo, Granada",1480,0.0,2,0,Primeros_pisos,5,1,1,1,0,1,1,0,0
Alquiler de Piso en avenida de Francisco Ayala,"Barrio de los Periodistas, Granada",920,1.0,2,0,Primeros_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en avenida de Francisco Ayala,"Barrio de los Periodistas, Granada",920,1.0,2,0,Primeros_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en avenida de Madrid,"Plaza de Toros, Granada",1040,1.0,1,0,Primeros_pisos,4,92,0,1,1,1,1,0,0
Alquiler de Piso en avenida de Francisco Ayala,"Barrio de los Periodistas, Granada",920,1.0,2,0,Primeros_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en calle Real de Cartuja,"San Ildefonso, Granada",990,0.0,1,0,Primeros_pisos,3,91,0,0,0,1,1,0,0
Alquiler de Casa o chalet independiente en calle Lagartijillo,"La Cruz, Granada",950,0.0,1,0,Muchas_plantas,3,1,0,1,0,1,1,0,0
Alquiler de Piso en calle Periodista Francisco Giles Jiménez,"Polígono Cartuja, Granada",1100,1.0,1,0,Ultimos_pisos,4,1,0,1,0,1,1,0,1
Alquiler de Chalet adosado en camino de los Tramposos,Ogijares,950,0.0,3,1,Muchas_plantas,4,1,1,1,1,1,1,0,0
Alquiler de Piso en Carrera de la Virgen - Paseo del Salón,"Realejo, Granada",900,0.0,1,0,Primeros_pisos,2,62,1,0,0,1,1,0,0
Alquiler de Piso en Bola de Oro,Granada,700,1.0,2,0,Primeros_pisos,2,87,0,0,0,1,0,1,1
Alquiler de Piso en calle Solarillo de Gracia s/n,"Recogidas, Granada",1200,1.0,2,0,Primeros_pisos,3,1,1,0,0,1,1,0,0
"Alquiler de Piso en calle Alhóndiga, 20","Recogidas, Granada",1000,1.0,2,0,Primeros_pisos,4,1,0,0,0,1,1,0,0
"Alquiler de Piso en calle Cerro del Caballo, 4","Bola de Oro, Granada",800,0.0,1,0,Bajo,1,50,0,0,0,1,0,0,0
Alquiler de Piso en calle Cristo de la Yedra,"San Ildefonso, Granada",650,1.0,1,0,Bajo,1,45,1,1,0,1,1,0,0
Alquiler de Ático en calle Veracruz,Ogijares,750,1.0,1,0,Primeros_pisos,2,94,1,1,1,1,0,0,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",840,1.0,2,1,Primeros_pisos,2,73,0,1,1,0,0,1,0
Alquiler de Piso en calle Gobernador Pedro Temboury,"Joaquina Eguaras, Granada",800,1.0,2,0,Primeros_pisos,3,92,1,0,0,1,1,0,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",810,1.0,2,1,Primeros_pisos,2,78,0,1,1,0,0,1,0
Alquiler de Piso en calle Mesones,"Catedral, Granada",850,0.0,1,0,Primeros_pisos,1,50,0,0,0,1,1,0,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",940,1.0,2,1,Primeros_pisos,3,1,0,1,1,0,0,1,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",830,1.0,1,1,Bajo,1,63,0,1,1,0,0,1,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",950,1.0,2,1,Primeros_pisos,3,99,0,1,1,0,0,1,0
Alquiler de Piso en calle Alcoholera,Atarfe,595,1.0,1,0,Bajo,1,40,0,1,0,0,1,1,1
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",870,1.0,2,1,Primeros_pisos,2,73,0,1,1,0,0,1,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",850,1.0,2,1,Primeros_pisos,2,73,0,1,1,0,0,1,0
Alquiler de Piso en calle Gloria,"Albaicín, Granada",500,0.0,1,0,Bajo,1,43,1,1,0,1,0,0,0
Alquiler de Piso en pasaje de Teba,"Casería de Montijo, Granada",990,1.0,3,0,Primeros_pisos,5,90,1,0,0,1,1,0,0
Alquiler de Piso en calle Alcoholera,Atarfe,595,1.0,1,0,Bajo,1,40,0,1,0,0,1,1,1
Alquiler de Piso en Maestro Cebrián,"Ronda - Arabial, Granada",1100,1.0,2,0,Primeros_pisos,4,1,0,1,1,1,0,0,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",1100,1.0,2,1,Bajo,3,1,0,1,1,0,0,1,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",950,1.0,2,1,Primeros_pisos,3,99,0,1,1,0,0,1,0
"Alquiler de Piso en avenida Federico Garía Lorca, 30","Barrio de los Periodistas, Granada",940,1.0,2,1,Primeros_pisos,3,1,0,1,1,0,0,1,0
Alquiler de Piso en camino de los Ogijares,La Zubia,650,1.0,2,0,Primeros_pisos,2,68,0,0,1,0,0,0,0
Alquiler de Piso en calle Nicuesa,"Carrera de la Virgen - Paseo del Salón, Granada",850,1.0,1,0,Primeros_pisos,3,95,0,1,0,1,0,0,0
Alquiler de Piso en calle María de Maeztu,"Parque Nueva Granada, Granada",700,1.0,2,0,Primeros_pisos,3,1,0,0,1,1,0,1,0
Alquiler de Piso en calle Alejandro Dumas,"Polígono Cartuja, Granada",700,1.0,1,0,Ultimos_pisos,3,92,0,0,0,1,0,0,0
"Alquiler de Estudio en Pintor Lopez Mezquita, 14","Gran Capitán, Granada",400,1.0,1,0,Ultimos_pisos,1,32,1,0,0,1,0,0,0
Alquiler de Piso en calle Pedro Antonio de Alarcón,"Ronda - Arabial, Granada",875,1.0,2,0,Ultimos_pisos,4,1,0,1,0,0,1,0,0
"Alquiler de Piso en calle Rosa Chacel, 6","Parque Nueva Granada, Granada",526,1.0,1,1,Ultimos_pisos,1,53,1,1,1,0,0,1,1
"Alquiler de Piso en calle Acera del Darro, 30","Carrera de la Virgen - Paseo del Salón, Granada",1800,1.0,2,0,Muchas_plantas,3,1,1,1,0,0,1,0,0
"Alquiler de Chalet adosado en calle Avellano, 22",Cajar,990,0.0,3,1,Muchas_plantas,4,2,1,1,1,1,1,0,0
Alquiler de Piso en avenida de Cadiz,"Zaidín, Granada",850,1.0,2,0,Ultimos_pisos,2,91,1,1,1,1,1,0,1
Alquiler de Chalet adosado en Marie Curie,"San Miguel, Armilla",990,0.0,3,1,Muchas_plantas,3,1,1,0,1,1,1,0,0
"Alquiler de Piso en calle la Iruela, 45","Ctra Sierra - Acceso Nuevo Alhambra, Granada",700,0.0,1,0,Primeros_pisos,1,65,0,1,0,1,1,1,0
Alquiler de Estudio en calle Nuestra Señora de la Salud s/n,"Los Pajaritos, Granada",525,1.0,1,0,Bajo,1,40,0,0,0,1,1,0,0
Alquiler de Piso en calle Ancha de Capuchinos,"San Ildefonso, Granada",775,1.0,1,0,Primeros_pisos,3,82,0,1,0,0,1,0,0
Alquiler de Piso en calle Agustina de Aragón,"Figares, Granada",850,1.0,1,0,Ultimos_pisos,3,75,0,1,0,0,1,0,0
Alquiler de Ático en calle Andalucía,Maracena,775,0.0,1,0,Primeros_pisos,3,90,1,0,0,1,1,0,0
